ISO,continent,latitude,ecozone,Country,fertility.1995,log_gdp.1995,fertility.1965,log_gdp.1965,fertility.1980,log_gdp.1980,fertility.2000,log_gdp.2000,fertility.2005,log_gdp.2005,fertility.1975,log_gdp.1975,fertility.1970,log_gdp.1970,fertility.1985,log_gdp.1985,fertility.1990,log_gdp.1990,fertility.1960,log_gdp.1960
ARG,AMERICA,-34,Neotropic,Argentina,2.63,8.910180778,3.05,7.148345744,3.15,7.915348169,2.35,8.949365142,2.25,8.461257559,3.44,7.607381426,3.15,7.183870715,3.05,7.978653729,2.9,8.375168691,NA,NA
AUT,EUROPE,47.33,Palearctic,Austria,1.39,10.30125645,2.53,7.22620901,1.62,9.283033057,1.38,10.08155005,1.42,10.51216558,1.64,8.564076777,2.02,7.621195163,1.45,9.109967398,1.47,9.968619647,2.78,6.840546529
BEL,EUROPE,50.83,Palearctic,Belgium,1.6,10.24689994,2.39,7.516433303,1.6,9.452423433,1.64,10.03249623,1.65,10.48307402,1.71,8.799360083,2.02,7.914617709,1.56,9.068315872,1.61,9.923584254,2.64,7.149131599
BFA,AFRICA,13,Afrotropic,Burkina Faso,6.77,5.446737372,7.33,4.442651256,7.68,5.641907071,6.36,5.393627546,6,5.998936562,7.75,5.036952602,7.75,4.430816799,7.44,5.303304908,7.16,5.857933154,6.72,4.276666119
BRA,AMERICA,-10,Neotropic,Brazil,2.45,8.467582691,5.38,5.552959585,3.8,7.566828479,2.35,8.216088099,2.25,8.46019947,4.31,7.042286172,4.72,6.089044875,3.1,7.401231264,2.6,8.03592637,6.15,5.33753808
BWA,AFRICA,-22,Afrotropic,Botswana,3.7,8.022240917,6.7,4.33073334,5.97,6.970730078,3.18,8.181160858,2.9,8.646289765,6.37,6.063785209,6.55,4.919980926,5.11,6.855408799,4.32,7.928045601,6.65,4.043051268
CAN,AMERICA,60,Nearctic,Canada,1.56,9.91110844,2.61,7.915713199,1.63,9.302737221,1.52,10.06989143,1.53,10.46507283,1.73,8.905986765,1.98,8.287528423,1.62,9.529811767,1.69,9.953990535,3.68,7.738488122
CHE,EUROPE,47,Palearctic,Switzerland,1.47,10.69496308,2.27,7.845416037,1.53,9.757883579,1.42,10.4304916,1.42,10.80533447,1.53,9.127610724,1.82,8.189244526,1.53,9.620593997,1.54,10.44885952,2.51,7.456454555
CHL,AMERICA,-30,Neotropic,Chile,2.21,8.508555998,4.44,6.551080335,2.67,7.811163385,2,8.500453867,1.94,8.895218584,2.8,6.542471961,3.63,6.843749949,2.65,7.216709487,2.55,7.78113851,5.44,6.311734809
CZE,EUROPE,49.75,Palearctic,Czech Rep,1.17,8.586719254,NA,NA,NA,NA,1.18,8.621553207,1.24,9.412137705,NA,NA,NA,NA,NA,NA,1.65,8.127109185,NA,NA
DEU,EUROPE,51,Palearctic,Germany,1.34,10.3382849,NA,NA,1.46,9.371268036,1.35,10.04698165,1.36,10.42581676,1.52,8.705331134,NA,NA,1.43,9.118773178,1.31,9.979707578,NA,NA
DNK,EUROPE,56,Palearctic,Denmark,1.76,10.45763125,2.27,7.716015267,1.43,9.518339645,1.76,10.30915264,1.8,10.77423684,1.68,8.965079015,1.97,8.121480375,1.54,9.3899917,1.75,10.18217933,2.59,7.218176838
ESP,EUROPE,40,Palearctic,Spain,1.18,9.625821815,2.92,6.64898455,1.89,8.703174709,1.29,9.577341814,1.41,10.16384981,2.57,8.046549357,2.86,7.071573364,1.48,8.427049642,1.27,9.503681402,2.89,5.981414211
EST,EUROPE,59,Palearctic,Estonia,1.33,8.010359589,NA,NA,NA,NA,1.39,8.319961022,1.49,9.232982102,NA,NA,NA,NA,NA,NA,1.63,8.07059354,NA,NA
ETH,AFRICA,8,Afrotropic,Ethiopia,6.34,4.836281907,NA,NA,NA,NA,5.78,4.736198448,5.29,4.9698133,NA,NA,NA,NA,6.82,5.379897354,6.77,5.463831805,NA,NA
FRA,EUROPE,46,Palearctic,France,1.76,10.20262872,2.61,7.647308832,1.87,9.459307603,1.88,10.01846666,1.89,10.46393157,1.86,8.820994646,2.31,7.97074039,1.81,9.192481854,1.71,9.995838814,2.85,7.22329568
GBR,EUROPE,52,Palearctic,United Kingdom,1.7,9.883080743,2.52,7.522940918,1.8,9.1616752,1.7,10.10646921,1.82,10.51994266,1.72,8.334711622,2.04,7.705712824,1.81,8.994916944,1.78,9.759328457,2.81,7.229838778
