subject,RT_W1,RT_W2,RT_W3,RT_W4,RT_W5,RT_W6,RT_W7
1,5916.555556,3203.142857,2752.9,1934,2762.181818,2093.142857,1317.538462
2,4601.6,4877.8,2778.5,6669.5,2780.083333,3138.833333,1981.6
3,4788.666667,2760,2293.230769,1746.142857,2221.692308,1864.545455,1100.2
4,7885.3,4276.692308,2171.285714,3401.333333,2283.857143,2364.583333,1830.133333
5,5666.285714,3072.75,2994.166667,2249.416667,2094.818182,1884.214286,2077.307692
6,7257.714286,4207.916667,3982.846154,3383.363636,2821.272727,2838.076923,1735.785714
7,7642.2,3202.833333,2517.285714,1852.2,1871.692308,2276.285714,2089.818182
8,5623.2,3868.083333,4097.083333,2680,2527.428571,2220.166667,1644.428571
9,7748.583333,4254.785714,2760.666667,2429.692308,2400,1856.583333,1796.769231
10,6865,5195.615385,4100.727273,3361.307692,3404.7,2015.5,2184.692308
11,5973.714286,3999.909091,3118.666667,3299.846154,2121.714286,2629.642857,1742
12,5264.2,4353.769231,2792.181818,2682.818182,2182.142857,1805.166667,1731.545455
13,6143.75,3231.538462,3206.571429,2321.5,3438.333333,2249.916667,953.8333333
14,6328.333333,7010.125,3261.142857,1954.363636,2290.545455,3242.5,1937.363636
15,6426.833333,5175.5,3243,2553,2668,2708.6,2389.111111
16,6023.727273,2602.1,2223.7,2883.888889,2389.461538,2678.285714,1925.181818
17,4327.2,3053,3220.3,2631.4,2845.5,2541.857143,1962.785714
18,7171.6,3427.5,3072.454545,2570.833333,1818.4,2536.384615,1111.461538
19,5606.5,3940.928571,3338.692308,3361.357143,3275.9,2098.384615,2287.583333
20,7411,2644.846154,2973.727273,3035.916667,3094.866667,2470.384615,1640
21,6347.5,4651.222222,1953.181818,3056.2,2928.1,2913.785714,2147.230769
