Gender	Subject	Vocab.8	Vocab.9	Vocab.10	Vocab.11
Boys	1	1.75	2.60	3.76	3.68
Boys	2	0.90	2.47	2.44	3.43
Boys	3	0.80	0.93	0.40	2.27
Boys	4	2.42	4.15	4.56	4.21
Boys	5	-1.31	-1.31	-0.66	-2.22
Boys	6	-1.56	1.67	0.18	2.33
Boys	7	1.09	1.50	0.52	2.33
Boys	8	-1.92	1.03	0.50	3.04
Boys	9	-1.61	0.29	0.73	3.24
Boys	10	2.47	3.64	2.87	5.38
Boys	11	-0.95	0.41	0.21	1.82
Boys	12	1.66	2.74	2.40	2.17
Boys	13	2.07	4.92	4.46	4.71
Boys	14	3.30	6.10	7.19	7.46
Boys	15	2.75	2.53	4.28	5.93
Boys	16	2.25	3.38	5.79	4.40
Boys	17	2.08	1.74	4.12	3.62
Boys	18	0.14	0.01	1.48	2.78
Boys	19	0.13	3.19	0.60	3.14
Boys	20	2.19	2.65	3.27	2.73
Boys	21	-0.64	-1.31	-0.37	4.09
Boys	22	2.02	3.45	5.32	6.01
Boys	23	2.05	1.80	3.91	2.49
Boys	24	1.48	0.47	3.63	3.88
Boys	25	1.97	2.54	3.26	5.62
Boys	26	1.35	4.63	3.54	5.24
Boys	27	-0.56	-0.36	1.14	1.34
Boys	28	0.26	0.08	1.17	2.15
Boys	29	1.22	1.41	4.66	2.62
Boys	30	-1.43	0.80	-0.03	1.04
Boys	31	-1.17	1.66	2.11	1.42
Boys	32	1.68	1.71	4.07	3.30
Boys	33	-0.47	0.93	1.30	0.76
Boys	34	2.18	6.42	4.64	4.82
Boys	35	4.21	7.08	6.00	5.65
Boys	36	8.26	9.55	10.24	10.58
Girls	37	1.24	4.90	2.42	2.54
Girls	38	5.94	6.56	9.36	7.72
Girls	39	0.87	3.36	2.58	1.73
Girls	40	-0.09	2.29	3.08	3.35
Girls	41	3.24	4.78	3.52	4.84
Girls	42	1.03	2.10	3.88	2.81
Girls	43	3.58	4.67	3.83	5.19
Girls	44	1.41	1.75	3.70	3.77
Girls	45	-0.65	-0.11	2.40	3.53
Girls	46	1.52	3.04	2.74	2.63
Girls	47	0.57	2.71	1.90	2.41
Girls	48	2.18	2.96	4.78	3.34
Girls	49	1.10	2.65	1.72	2.96
Girls	50	0.15	2.69	2.69	3.50
Girls	51	-1.27	1.26	0.71	2.68
Girls	52	2.81	5.19	6.33	5.93
Girls	53	2.62	3.54	4.86	5.80
Girls	54	0.11	2.25	1.56	3.92
Girls	55	0.61	1.14	1.35	0.53
Girls	56	-2.19	-0.42	1.54	1.16
Girls	57	1.55	2.42	1.11	2.18
Girls	58	-0.04	0.50	2.60	2.61
Girls	59	3.10	2.00	3.92	3.91
Girls	60	-0.29	2.62	1.60	1.86
Girls	61	2.28	3.39	4.91	3.89
Girls	62	2.57	5.78	5.12	4.98
Girls	63	-2.19	0.71	1.56	2.31
Girls	64	-0.04	2.44	1.79	2.64
