"SUBJECT"	"PART"	"TRIAL"	"SCENE"	"Scene"	"GROUP"	"LIST"	"CUE"	"COLOR"	"HIT_GLMM"	"RT"	"SEARCH_INIT"	"SCAN"	"VERI"
1	1	1	66	"television"	1	2	1	2	1	1257	334	39	884
1	1	2	62	"stool"	1	2	1	2	1	1229	377	483	369
1	1	3	21	"dog"	1	2	1	2	1	893	233	239	421
1	1	4	40	"mixer"	1	2	1	2	1	3064	211	190	2663
1	1	5	2	"apple"	1	2	1	2	1	1221	229	416	576
1	1	6	44	"paintbrush"	1	2	1	2	1	1743	200	661	882
1	1	7	51	"pliers"	1	2	1	2	1	1093	256	260	577
1	1	8	25	"fork"	1	2	1	2	1	1371	235	433	703
1	1	9	50	"pin board"	1	2	1	2	1	1093	473	159	461
1	1	10	75	"waste basket"	1	2	1	2	1	1214	362	206	646
1	1	11	67	"tissue box"	1	1	1	1	1	1418	201	665	552
1	1	12	24	"flowers"	1	1	1	1	1	1461	7	475	979
1	1	13	7	"bongos"	1	1	1	1	1	1259	187	567	505
1	1	14	36	"lightbulb"	1	1	1	1	1	2789	205	1691	893
1	1	15	5	"bench"	1	1	1	1	1	1412	249	838	325
1	1	16	69	"tractor"	1	1	1	1	1	1394	160	409	825
1	1	17	42	"ovenmit"	1	1	1	1	1	1901	12	1343	546
1	1	18	35	"license plate"	1	1	1	1	1	1156	225	269	662
1	1	19	8	"book"	1	1	1	1	1	1376	219	528	629
1	1	20	79	"wine glass"	1	1	1	1	1	1272	182	394	696
1	1	21	47	"pen"	1	4	1	4	1	1778	180	973	625
1	1	22	57	"shampoo bottle"	1	4	1	4	1	1961	244	586	1131
1	1	23	26	"fruit bowl"	1	4	1	4	1	1936	219	1212	505
1	1	24	68	"torch"	1	4	1	4	1	1539	233	549	757
1	1	25	53	"pumpkin"	1	4	1	4	1	9183	228	322	8633
1	1	26	59	"slippers"	1	4	1	4	1	1614	217	693	704
1	1	27	54	"rooster"	1	4	1	4	1	2368	237	1419	712
1	1	28	37	"logs"	1	4	1	4	1	1053	221	251	581
1	1	29	65	"teddy bear"	1	4	1	4	1	1465	265	513	687
1	1	30	27	"globe"	1	4	1	4	1	1257	425	210	622
1	1	31	30	"hammer"	1	3	1	3	1	1114	244	287	583
1	1	32	33	"jug"	1	3	1	3	1	1329	267	229	833
1	1	33	78	"wine bottle"	1	3	1	3	1	2971	219	439	2313
1	1	34	17	"car"	1	3	1	3	1	1850	198	388	1264
1	1	35	18	"clock"	1	3	1	3	1	1014	224	34	756
1	1	36	4	"bell"	1	3	1	3	1	1629	232	757	640
1	1	37	49	"pillow"	1	3	1	3	1	1586	308	578	700
1	1	38	76	"watch"	1	3	1	3	1	1714	265	934	515
1	1	39	29	"hair brush"	1	3	1	3	1	1364	284	656	424
1	1	40	11	"boxing gloves"	1	3	1	3	1	979	241	49	689
1	2	41	56	"screwdriver"	1	7	2	3	1	1271	285	408	578
1	2	42	3	"basket"	1	7	2	3	1	3571	233	2830	508
1	2	43	72	"trumpet"	1	7	2	3	1	2157	218	1416	523
1	2	44	43	"pail"	1	7	2	3	1	2393	182	1851	360
1	2	45	1	"angel"	1	7	2	3	1	993	250	47	696
1	2	46	74	"washing up liquid"	1	7	2	3	1	1121	202	483	436
1	2	47	46	"parking meter"	1	7	2	3	1	1493	11	771	711
1	2	48	14	"bus"	1	7	2	3	1	1250	223	331	696
1	2	49	39	"man"	1	7	2	3	1	1050	199	191	660
1	2	50	28	"gnome"	1	7	2	3	1	986	243	294	449
1	2	51	23	"fire hydrant"	1	6	2	2	1	1150	242	326	582
1	2	52	9	"boot"	1	6	2	2	1	8243	229	482	7532
1	2	53	6	"bin"	1	6	2	2	1	1136	210	259	667
1	2	54	48	"pencil"	1	6	2	2	1	1436	230	614	592
1	2	55	73	"vase"	1	6	2	2	1	1036	233	223	580
1	2	56	64	"teapot"	1	6	2	2	1	1664	280	62	1322
1	2	57	13	"broom"	1	6	2	2	1	907	294	51	562
1	2	58	22	"fire extinguisher"	1	6	2	2	1	821	267	58	496
1	2	59	31	"highlighter"	1	6	2	2	1	1043	239	224	580
1	2	60	71	"trousers"	1	6	2	2	1	1071	338	52	681
1	2	61	45	"painting"	1	5	2	1	1	1232	190	372	670
1	2	62	80	"woman"	1	5	2	1	1	1235	217	59	959
1	2	63	41	"mobilephone"	1	5	2	1	1	1228	364	302	562
1	2	64	12	"brick"	1	5	2	1	1	1028	208	59	761
1	2	65	63	"sunglasses"	1	5	2	1	1	1067	220	217	630
1	2	66	34	"lamp"	1	5	2	1	1	856	227	204	425
1	2	67	55	"scissors"	1	5	2	1	1	1499	244	740	515
1	2	68	15	"butterfly"	1	5	2	1	1	2657	286	1617	754
1	2	69	61	"spade"	1	5	2	1	1	989	255	43	691
1	2	70	70	"trophy"	1	5	2	1	1	1329	244	591	494
1	2	71	20	"dart board"	1	8	2	4	1	869	250	37	582
1	2	72	58	"shoes"	1	8	2	4	1	2686	310	1854	522
1	2	73	60	"soda can"	1	8	2	4	1	1064	350	226	488
1	2	74	32	"jeep"	1	8	2	4	1	2492	371	1493	628
1	2	75	10	"bowl"	1	8	2	4	1	1174	363	45	766
1	2	76	38	"magazine"	1	8	2	4	1	934	216	48	670
1	2	77	52	"potted plant"	1	8	2	4	1	3326	203	2448	675
1	2	78	19	"coffee mug"	1	8	2	4	1	1651	205	248	1198
1	2	79	16	"cap"	1	8	2	4	1	1168	192	54	922
1	2	80	77	"watering can"	1	8	2	4	1	2123	301	197	1625
2	1	1	54	"rooster"	2	4	1	3	1	2164	6	928	1230
2	1	2	57	"shampoo bottle"	2	4	1	3	1	1543	327	575	641
2	1	3	37	"logs"	2	4	1	3	1	1971	320	596	1055
2	1	4	65	"teddy bear"	2	4	1	3	1	1371	602	49	720
2	1	5	27	"globe"	2	4	1	3	1	2607	52	1966	589
2	1	6	59	"slippers"	2	4	1	3	1	1486	386	49	1051
2	1	7	68	"torch"	2	4	1	3	0	6193	599	848	4746
2	1	8	26	"fruit bowl"	2	4	1	3	0	2300	314	NA	NA
2	1	9	47	"pen"	2	4	1	3	1	2479	384	1601	494
2	1	10	53	"pumpkin"	2	4	1	3	1	1186	534	43	609
2	1	11	33	"jug"	2	3	1	2	1	1221	597	42	582
2	1	12	18	"clock"	2	3	1	2	1	1157	66	434	657
2	1	13	76	"watch"	2	3	1	2	1	1586	426	559	601
2	1	14	11	"boxing gloves"	2	3	1	2	1	1164	641	39	484
2	1	15	30	"hammer"	2	3	1	2	1	1407	364	277	766
2	1	16	4	"bell"	2	3	1	2	1	2629	33	1951	645
2	1	17	29	"hair brush"	2	3	1	2	1	1386	567	248	571
2	1	18	49	"pillow"	2	3	1	2	1	2021	473	47	1501
2	1	19	78	"wine bottle"	2	3	1	2	1	2807	481	1552	774
2	1	20	17	"car"	2	3	1	2	0	5157	673	1795	2689
2	1	21	12	"brick"	2	5	1	4	1	1377	299	232	846
2	1	22	45	"painting"	2	5	1	4	1	1779	558	285	936
2	1	23	34	"lamp"	2	5	1	4	1	1254	343	314	597
2	1	24	63	"sunglasses"	2	5	1	4	1	1165	260	49	856
2	1	25	80	"woman"	2	5	1	4	1	1285	288	39	958
2	1	26	70	"trophy"	2	5	1	4	1	1941	412	1051	478
2	1	27	61	"spade"	2	5	1	4	0	1631	348	47	1236
2	1	28	41	"mobilephone"	2	5	1	4	1	1381	418	266	697
2	1	29	15	"butterfly"	2	5	1	4	0	6135	478	NA	NA
2	1	30	55	"scissors"	2	5	1	4	1	1770	226	893	651
2	1	31	25	"fork"	2	2	1	1	1	1370	404	281	685
2	1	32	51	"pliers"	2	2	1	1	1	1013	231	315	467
2	1	33	62	"stool"	2	2	1	1	1	1199	249	631	319
2	1	34	75	"waste basket"	2	2	1	1	1	1055	322	54	679
2	1	35	2	"apple"	2	2	1	1	1	1674	355	547	772
2	1	36	66	"television"	2	2	1	1	1	1385	511	46	828
2	1	37	44	"paintbrush"	2	2	1	1	1	1527	523	284	720
2	1	38	21	"dog"	2	2	1	1	1	1887	370	879	638
2	1	39	50	"pin board"	2	2	1	1	1	1293	291	194	808
2	1	40	40	"mixer"	2	2	1	1	1	1833	5	659	1169
2	2	41	35	"license plate"	2	1	2	4	1	1338	394	57	887
2	2	42	24	"flowers"	2	1	2	4	1	2264	390	942	932
2	2	43	79	"wine glass"	2	1	2	4	1	1483	427	49	1007
2	2	44	69	"tractor"	2	1	2	4	0	3140	247	640	2253
2	2	45	36	"lightbulb"	2	1	2	4	0	15000	255	4906	9839
2	2	46	5	"bench"	2	1	2	4	1	1704	278	690	736
2	2	47	67	"tissue box"	2	1	2	4	1	1924	386	512	1026
2	2	48	7	"bongos"	2	1	2	4	1	1198	374	50	774
2	2	49	8	"book"	2	1	2	4	1	1807	608	503	696
2	2	50	42	"ovenmit"	2	1	2	4	1	1127	230	42	855
2	2	51	19	"coffee mug"	2	8	2	3	1	1164	323	198	643
2	2	52	60	"soda can"	2	8	2	3	1	1629	332	276	1021
2	2	53	58	"shoes"	2	8	2	3	1	2671	603	1151	917
2	2	54	52	"potted plant"	2	8	2	3	1	2757	213	1760	784
2	2	55	16	"cap"	2	8	2	3	1	1550	199	444	907
2	2	56	10	"bowl"	2	8	2	3	1	1479	374	47	1058
2	2	57	38	"magazine"	2	8	2	3	0	1686	315	40	1331
2	2	58	77	"watering can"	2	8	2	3	1	1157	359	48	750
2	2	59	20	"dart board"	2	8	2	3	1	1300	236	253	811
2	2	60	32	"jeep"	2	8	2	3	1	1957	615	467	875
2	2	61	73	"vase"	2	6	2	1	1	2281	245	918	1118
2	2	62	48	"pencil"	2	6	2	1	1	4946	605	3404	937
2	2	63	64	"teapot"	2	6	2	1	1	2237	224	739	1274
2	2	64	6	"bin"	2	6	2	1	1	1354	322	284	748
2	2	65	22	"fire extinguisher"	2	6	2	1	1	1188	243	57	888
2	2	66	23	"fire hydrant"	2	6	2	1	1	1432	335	247	850
2	2	67	71	"trousers"	2	6	2	1	1	1231	314	45	872
2	2	68	13	"broom"	2	6	2	1	1	1569	385	44	1140
