"id","item","tar","dir","rt","c1","c2","c3"
"1","39","dod","hor",506.1,0.25,0.5,-0.75
"1","52","dod","hor",489.6,0.25,0.5,-0.75
"1","89","dod","hor",518.7,0.25,0.5,-0.75
"1","104","dod","hor",459.6,0.25,0.5,-0.75
"1","120","dod","hor",384.2,0.25,0.5,-0.75
"1","161","dod","hor",470,0.25,0.5,-0.75
"1","194","dod","hor",422,0.25,0.5,-0.75
"1","248","dod","hor",462.8,0.25,0.5,-0.75
"1","270","dod","hor",471.9,0.25,0.5,-0.75
"1","277","dod","hor",445.5,0.25,0.5,-0.75
"1","289","dod","hor",399.1,0.25,0.5,-0.75
"1","299","dod","hor",389.7,0.25,0.5,-0.75
"1","304","dod","hor",409.8,0.25,0.5,-0.75
"1","320","dod","hor",370.1,0.25,0.5,-0.75
"1","378","dod","hor",408.2,0.25,0.5,-0.75
"1","479","dod","hor",417.5,0.25,0.5,-0.75
"1","494","dod","hor",316.7,0.25,0.5,-0.75
"1","503","dod","hor",440.7,0.25,0.5,-0.75
"1","508","dod","hor",398.7,0.25,0.5,-0.75
"1","554","dod","hor",348.7,0.25,0.5,-0.75
"1","587","dod","hor",275,0.25,0.5,-0.75
"1","590","dod","hor",411.2,0.25,0.5,-0.75
"1","4","dod","ver",525.7,0.25,0.5,-0.75
"1","40","dod","ver",466.7,0.25,0.5,-0.75
"1","79","dod","ver",469.4,0.25,0.5,-0.75
"1","116","dod","ver",484.2,0.25,0.5,-0.75
"1","164","dod","ver",518.2,0.25,0.5,-0.75
"1","167","dod","ver",519.8,0.25,0.5,-0.75
"1","169","dod","ver",505.8,0.25,0.5,-0.75
"1","177","dod","ver",465,0.25,0.5,-0.75
"1","209","dod","ver",526.6,0.25,0.5,-0.75
"1","247","dod","ver",456.1,0.25,0.5,-0.75
"1","264","dod","ver",671.6,0.25,0.5,-0.75
"1","273","dod","ver",430.8,0.25,0.5,-0.75
"1","298","dod","ver",363.2,0.25,0.5,-0.75
"1","300","dod","ver",377.8,0.25,0.5,-0.75
"1","360","dod","ver",358.1,0.25,0.5,-0.75
"1","392","dod","ver",499.7,0.25,0.5,-0.75
"1","454","dod","ver",457.1,0.25,0.5,-0.75
"1","465","dod","ver",356.5,0.25,0.5,-0.75
"1","486","dod","ver",368.8,0.25,0.5,-0.75
"1","500","dod","ver",377.7,0.25,0.5,-0.75
"1","514","dod","ver",341.5,0.25,0.5,-0.75
"1","537","dod","ver",395.9,0.25,0.5,-0.75
"1","583","dod","ver",392.2,0.25,0.5,-0.75
"1","23","dos","hor",538.1,0.25,0.5,0.25
"1","28","dos","hor",476.6,0.25,0.5,0.25
"1","43","dos","hor",515.3,0.25,0.5,0.25
"1","50","dos","hor",506.8,0.25,0.5,0.25
"1","69","dos","hor",502.3,0.25,0.5,0.25
"1","82","dos","hor",482.6,0.25,0.5,0.25
"1","149","dos","hor",495.6,0.25,0.5,0.25
"1","170","dos","hor",468.7,0.25,0.5,0.25
"1","215","dos","hor",373.4,0.25,0.5,0.25
"1","225","dos","hor",494.8,0.25,0.5,0.25
"1","234","dos","hor",434.1,0.25,0.5,0.25
"1","260","dos","hor",388.7,0.25,0.5,0.25
"1","283","dos","hor",399,0.25,0.5,0.25
"1","295","dos","hor",550,0.25,0.5,0.25
"1","311","dos","hor",398.7,0.25,0.5,0.25
"1","394","dos","hor",403.7,0.25,0.5,0.25
"1","418","dos","hor",418.6,0.25,0.5,0.25
